2024-03-13T13:00:34.362+0530 INFO ***********Updating user data***********
2024-03-13T13:00:36.998+0530 INFO ***********User Data Updated***********
2024-03-13T13:00:37.002+0530 INFO ***********Deleting User***********
2024-03-13T13:00:38.240+0530 INFO ***********User Data Deleted***********
2024-03-13T14:53:18.484+0530 INFO ***********Creating user***********
2024-03-13T14:53:26.806+0530 INFO ***********User Created***********
2024-03-13T14:53:26.889+0530 INFO ***********Reading user***********
2024-03-13T14:53:28.242+0530 INFO ***********User Info Displayed***********
2024-03-13T14:53:28.245+0530 INFO ***********Updating user data***********
2024-03-13T14:53:30.992+0530 INFO ***********User Data Updated***********
2024-03-13T14:53:30.995+0530 INFO ***********Deleting User***********
2024-03-13T14:53:32.309+0530 INFO ***********User Data Deleted***********
